scenario,ambition_grassland,ambition_organic,ambition_peatland_lo,ambition_peatland_up,ambition_silvoa,ambition_silvop,ambition_woodland,ambition_woodpa,gwp_rel,food_rel,birds_rel
44,0.02485146785139332,0.0779541498758899,0.4851259377319366,0.14019419136457145,0.05714729843064708,0.11572730853932675,6.40348169430964e-4,0.5263526118476002,0.5363352738243898,0.9162697410313799,1.021239784136015
45,0.3340023237726604,0.555344143260167,0.1808502390049398,0.6456600283272564,0.358930815143817,0.010837189843724171,0.100294869286986,0.07800839715086076,0.23513174502593176,0.5893426042029015,1.0489166641581258
46,0.14052210469961274,0.2026535590123756,0.6901506958529353,0.02798036695457995,0.019089590950213717,0.45690558565371914,0.2683377259684123,0.12212567020110415,-0.25419055099221505,0.7464885233188878,1.1091500359880375
47,4.459785931216332e-4,0.4609859673842813,0.7881246528122574,0.38305282522924244,0.3005430483372606,0.016002127978763613,0.1367797822285638,0.18089919240833707,0.22062329570012842,0.8079200473724653,1.0792539467153366
48,0.06868284645111915,4.0811380099927265e-4,0.274811920709908,0.94581905961968,0.5621755861882918,0.1020342902924582,0.2637627314795205,0.19023588369012445,-0.2187703277185542,0.7297292506800341,1.039766195578087
49,0.3785917055883236,0.032821574196540915,0.9319605578202754,0.9874983688350767,0.05475282175381059,0.15794945526940224,0.022687914533953548,0.012148708872431023,0.4230232109847675,0.7464028728924754,1.0488419278197214
50,0.5382000552712098,0.0209448621659522,0.1649691693019122,0.5292343464680016,0.1165946762120672,0.11365549393438108,0.022849504564877866,0.4655565466538324,0.10600956944867086,0.4260340830378892,0.9919532042869321
51,0.04658248590527654,0.16049098941733891,0.1364514462184161,0.7394685365725309,0.36495013647120006,0.1646471474901945,0.4101143893981255,0.2202120632101864,-0.6835187430793829,0.6872556309945933,1.0662722795563964
52,0.017438586614545275,0.11503016762316326,0.1673051454126835,0.5550481227692217,0.12079565115469851,0.013855266313511416,0.07116876242035328,0.17237704714656454,0.6463411882500976,0.9183499842502922,1.0133412217024214
53,0.14833910789639915,0.3577225641912882,0.2965944306924939,0.13965547271072865,0.08737892032064085,0.0962877458729369,0.057605299012519026,0.051459715230280395,0.6282031130910369,0.8509062983891038,1.0387341557476817
54,0.1308909276635396,0.1053402490613839,0.4131695383694023,0.6836352765094489,0.43473662256600337,0.2674303581371189,0.5363676677587663,0.1731843667736365,-1.1901780797202124,0.5060994222390274,1.076824357254307
55,0.10855522952373599,0.501677840455695,0.07762886956334115,0.9140437927562743,0.07921941631744242,0.11681168210620889,0.011677608428192493,0.20724364390953082,0.5710110268356483,0.8098018095120425,1.0186199397311326
56,0.10922955407468442,0.2555424321365749,0.8856555290985852,0.8524603836704046,0.7410474991699674,0.17463812450169094,0.37122738603269473,0.06512295776970652,-0.7586200902555004,0.5656855608349309,1.0925659831107857
57,0.2686255477161188,0.24037909822630898,0.10698214662261307,0.229248546762392,0.3579804819153516,0.5155233493829382,0.1347212798732084,0.1533307274744839,0.017392098844876885,0.6847412776194577,1.0376548083231882
58,0.07894404641607589,0.34849514343873544,0.07899135141633454,0.7763465901371092,0.34786065467420196,0.3124186910047009,0.29698761368499066,0.2973283420349274,-0.5174462658079145,0.6962894742421157,1.0600764793752115
59,1.2087472286587547e-4,0.15130194482129303,0.5917062074877322,0.5234321714378893,0.37125057059851163,0.20842652523066638,0.16266375404592354,0.12443545751032549,0.18268304521659814,0.8338631701468897,1.0574258254611548
60,0.04833405827371512,0.027866477354564476,0.8500074890907854,0.7874729486647993,0.28350134090641105,0.3267400123355997,0.07699345527136223,0.051545382636632775,0.383840583430357,0.8556438284819453,1.0611848988506605
61,0.06916873391848777,0.3606803129051063,0.042245494900271297,0.8641953063197434,0.39932962131066646,0.4178277826641627,0.28829336030252156,0.14511780722329964,-0.42149595134749535,0.7192541778074142,1.0562999502680417
62,0.08942450609402414,0.25242546084818795,0.09535450884141028,0.21247072145342827,0.30842776168913383,0.14433377947910947,0.3952470107629214,7.392153576669482e-4,-0.4774732187880597,0.6937332533304756,1.0824657312195354
63,0.4081349032901583,0.12479396571305906,0.7306766386609524,0.9060291973873973,0.19086949254153457,0.10240498048772262,0.04952042869931362,0.11889767533406502,0.28146037122732803,0.6620198371306969,1.0454443514650518
64,0.31199877852991836,0.10229750550960909,0.5660265621263534,0.07683297735638916,0.041470012702657086,0.1559106361973264,0.2631791468983771,0.02890044836162926,-0.14434042508927253,0.6583183812817158,1.10059867605404
65,0.23128798668368739,0.48849950480775667,0.7663487736135721,0.6402600796427578,0.27976993497300345,0.050294116003998225,0.31005361336530085,0.21178298998440084,-0.5815300703927977,0.45769688673830605,1.124854764917717
66,0.07457058767266898,0.38548054889139627,0.6096134295221418,0.938355473568663,0.29502258218469746,0.07642158289995582,0.7378904952372842,0.004696452509103247,-1.72920066545275,0.33597691650633016,1.1276503593703435
67,0.030188853541226933,0.04176040000713778,0.4831735345069319,0.979469965910539,0.3921264778642209,0.13191365464205812,0.10634058253584204,0.46083283528953234,0.10740057986189026,0.8327650872475103,1.0273241710140217
68,0.6661196874119844,0.24416130417941212,0.1999385009985417,0.2847661573905498,0.028505692386568002,0.09356392075245167,0.05317438452043206,0.2788800852395839,0.0746318135070891,0.26136755271320217,1.0120864472028694
69,0.05859466868418705,0.15007380304443355,0.5855068215169013,0.9490448639262468,0.15282725227429494,0.41185991965496177,0.04101867311936361,0.16906279215671297,0.4372030106165129,0.888748589929587,1.0379038847530144
70,0.16187846592752902,0.20987185312629467,0.9884672567714006,0.8659127275459468,0.02067123688861608,0.23094731950881148,0.16381233058481098,0.11191110029351899,-0.019463732459194485,0.7769793300467344,1.1084049344488944
71,0.2564011439202602,0.3679970127950723,0.961614471161738,0.6706795948557556,0.0014563904790780133,0.24835062902905566,0.5147335768664484,0.015834348642205037,-1.2068118781557655,0.34039679595287003,1.180629002705042
72,0.28448295250874095,0.2644261931027429,0.038116240641102195,0.6430228124372661,0.1821639394353924,0.0072102542921411985,0.372837177741343,0.53958418789182,-0.9772943812163735,0.33469747897650975,1.0733097545077628
73,0.03719720477413339,0.005730665278666939,0.5872010616585612,0.5087400604970752,0.20624403121025478,0.2253578774330604,0.06516273879343797,0.0048341971653574,0.6036076148340177,0.8965470674466247,1.0403316772902755
74,0.3961584375991385,0.014103582498016269,0.6257127160206437,0.7005510004237294,0.07914500359696078,0.2282023402953819,7.950506641114055e-4,0.050032678299492754,0.5245100457370144,0.7499411251673352,1.0311432394320963
75,0.214296747459224,0.038954161327512594,0.7024564386811107,0.839234568644315,0.4042581216251525,0.016423074800030395,0.1991681974904974,0.2948390283758841,-0.21426497739674483,0.6396106358019524,1.0670090826958956
76,0.1030676514733978,0.2659361924681108,0.3957796525210142,0.5144460061565042,0.2282632912755247,0.05844351287094024,0.09708368256920051,0.09549414908867165,0.4582442694530454,0.8728745048710799,1.0427370253930026
77,0.07128373879016946,0.4615185145999077,0.9849852458573878,0.44479590374976397,0.08840776284647706,0.1290860415850306,0.4574725992508439,0.3592061976537777,-1.1158379082331429,0.4788685149589038,1.165397929865432
78,0.14118211353889154,0.5813367744007982,0.882247154135257,0.4050653004087508,0.45391836492736454,0.22986487041173373,0.04715201206319138,0.019725778065139067,0.3385442584676829,0.7437458439120705,1.0770420032461672
79,0.5276930507688226,0.04939983358891564,0.001670874422416091,0.6738322419114411,0.3682991590616964,0.007759445900151076,0.3392518068080724,0.01890589945685456,-0.6336381388004106,0.2986107875518777,1.041769630159012
80,0.010753724339721708,0.5265709819229071,0.09487995924428105,0.6227785253431648,0.17550676524621336,0.19398357588806062,0.10199889155244929,0.030642603636161458,0.5033356710364355,0.8446184342678069,1.0351487747437522
81,0.06435889236653619,0.23689862407932913,0.1597308625932783,0.6197790226433426,0.12604069986961786,0.23275527438231516,0.453328255652005,0.026246642718929406,-0.6750386895508912,0.68391669849310055,1.0979697879722443
82,0.0033054382321043296,0.019911089476500467,0.48463126830756664,0.9307504442986101,0.5219802817848216,0.0034108088044774547,0.13456915315202259,0.7237652743261573,-0.1785006600758163,0.7915045554756346,1.0219988165891736
83,0.14003017730977524,0.005255516459805346,0.8789095883257687,0.20495792548172176,0.40174891142923935,0.07215417570948993,0.19829355869744003,0.016191071960922107,0.054445011190583016,0.7463126033002075,1.0894505258046463
84,0.0059694901528812285,0.012676262518120809,0.7958148682955652,0.35319646005518734,0.3129540095299256,0.14830183307762668,0.1937312796176866,0.24905565744419383,-0.0050192174708182675,0.817403522597804,1.0758484059739855
85,0.11945296663233788,0.13744214668844257,0.31559953675605357,0.8585979591589421,7.685068986700979e-4,0.0519789731552555,0.43141061530993746,0.18726869509714472,-0.6914585286713888,0.6941571108648045,1.1079858617668519
86,0.7278388729089316,0.09711544138112892,0.09818027284927666,0.2947098577860743,0.10523229614927197,0.03223369253422707,0.021872355792701182,0.52692829940516,-0.11471104444477359,0.10011311204471578,0.9507622737471766
